model_full_name,score_method,da_weight,threshold,weighted_loss,E_precision,E_recall,E_f1,N_precision,N_recall,N_f1,C_precision,C_recall,C_f1,accuracy,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,E_train_ex,N_train_ex,C_train_ex,total_train_ex,test_data,train_data
bert_en_e4_b128_th0.0_da_transqe,da,-,0.0,False,0.92,0.904,0.912,0.869,0.864,0.867,0.919,0.941,0.93,0.903,0.903,0.903,0.903,183416,182764,183187,549367,TransQE (en),TransQE (en)
bert_en_e4_b128_baseline,da,-,0.0,False,0.781,0.858,0.818,0.897,0.866,0.881,0.889,0.836,0.862,0.859,0.863,0.859,0.86,1274,2524,641,4439,SICK (en),SICK (en)
bert_nl_e4_b128_baseline,da,-,0.0,False,0.757,0.83,0.792,0.884,0.844,0.863,0.861,0.847,0.854,0.841,0.844,0.841,0.842,1274,2524,641,4439,SICK (nl),SICK (nl)
bert_en_e4_b128_th0.0_da,da,-,0.0,False,0.805,0.896,0.848,0.877,0.316,0.464,0.297,0.976,0.456,0.578,0.772,0.578,0.573,183416,182764,183187,549367,SICK (en),TransQE (en)
bert_nl_e4_b128_th0.0_da_wl,da,-,0.0,True,0.72,0.868,0.787,0.867,0.309,0.456,0.286,0.89,0.433,0.554,0.741,0.554,0.547,183416,182764,183187,549367,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.0_mqm_wl,mqm,-,0.0,True,0.72,0.866,0.786,0.86,0.306,0.451,0.277,0.865,0.42,0.547,0.735,0.547,0.543,183416,182764,183187,549367,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.0_mix_daweight0.5_wl,mix,0.5,0.0,True,0.718,0.877,0.79,0.87,0.3,0.447,0.284,0.89,0.431,0.551,0.742,0.551,0.543,183416,182764,183187,549367,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.0_da,da,-,0.0,False,0.701,0.875,0.778,0.861,0.303,0.448,0.273,0.833,0.411,0.543,0.73,0.543,0.537,183416,182764,183187,549367,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.05_da,da,-,0.05,False,0.708,0.865,0.779,0.859,0.303,0.448,0.272,0.844,0.412,0.542,0.731,0.542,0.537,129420,127800,128057,385277,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.5_mqm,mqm,-,0.5,False,0.714,0.855,0.778,0.841,0.296,0.438,0.279,0.879,0.424,0.541,0.723,0.541,0.534,120269,114110,117354,351733,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.25_da,da,-,0.25,False,0.704,0.851,0.77,0.854,0.297,0.44,0.271,0.853,0.412,0.536,0.726,0.536,0.531,96848,93926,94927,285701,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.5_mix_daweight0.5,mix,0.5,0.5,False,0.687,0.85,0.76,0.854,0.284,0.426,0.266,0.836,0.403,0.526,0.721,0.526,0.519,58171,54054,55311,167536,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.5_mix_daweight0.4,mix,0.4,0.5,False,0.672,0.846,0.749,0.843,0.29,0.431,0.254,0.778,0.383,0.52,0.708,0.52,0.515,63915,59354,60970,184239,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.5_mix_daweight0.6,mix,0.6,0.5,False,0.679,0.845,0.753,0.849,0.284,0.425,0.26,0.815,0.395,0.521,0.715,0.521,0.514,54085,50389,51587,156061,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.5_da,da,-,0.5,False,0.636,0.831,0.721,0.83,0.291,0.431,0.212,0.624,0.317,0.494,0.685,0.494,0.498,45524,42226,43183,130933,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.6_mqm,mqm,-,0.6,False,0.628,0.851,0.723,0.838,0.271,0.41,0.197,0.581,0.294,0.482,0.685,0.482,0.483,42257,37340,39465,119062,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.6_mix_daweight0.6,mix,0.6,0.6,False,0.621,0.845,0.716,0.85,0.268,0.407,0.198,0.588,0.296,0.479,0.69,0.479,0.479,30429,27497,28264,86190,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.6_da,da,-,0.6,False,0.632,0.83,0.718,0.832,0.266,0.403,0.202,0.615,0.304,0.478,0.683,0.478,0.479,29771,26977,27765,84513,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.7_da,da,-,0.7,False,0.606,0.819,0.696,0.815,0.272,0.408,0.188,0.548,0.28,0.469,0.664,0.469,0.472,14078,12246,12681,39005,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.6_mix_daweight0.4,mix,0.4,0.6,False,0.606,0.861,0.711,0.846,0.258,0.395,0.19,0.549,0.282,0.473,0.682,0.473,0.469,31009,27819,28746,87574,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.6_mix_daweight0.5,mix,0.5,0.6,False,0.612,0.846,0.71,0.822,0.254,0.388,0.185,0.545,0.276,0.466,0.669,0.466,0.464,30642,27667,28474,86783,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.7_mix_daweight0.6,mix,0.6,0.7,False,0.604,0.816,0.694,0.793,0.262,0.394,0.186,0.544,0.277,0.462,0.651,0.462,0.463,9316,7930,8210,25456,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.7_mix_daweight0.5,mix,0.5,0.7,False,0.614,0.781,0.688,0.765,0.265,0.393,0.182,0.549,0.273,0.454,0.637,0.454,0.46,7989,6777,7034,21800,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.7_mqm,mqm,-,0.7,False,0.571,0.798,0.666,0.745,0.257,0.382,0.172,0.48,0.254,0.444,0.612,0.444,0.445,2275,1760,1739,5774,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.8_da,da,-,0.8,False,0.582,0.776,0.665,0.736,0.25,0.373,0.176,0.515,0.262,0.439,0.61,0.439,0.441,4400,3537,3687,11624,SICK (nl),TransQE (nl)
bert_nl_e4_b128_th0.7_mix_daweight0.4,mix,0.4,0.7,False,0.597,0.801,0.685,0.764,0.225,0.348,0.175,0.541,0.264,0.436,0.631,0.436,0.432,6545,5480,5693,17718,SICK (nl),TransQE (nl)
